variable,number of missing variables
gender,0
age,1
fasta_enk,9997
langd,34
vikt,43
bmi,51
midja,9971
skol,414
hdl,6516
ldl,10123
stg,4381
blods0,131
blods2,1188
sbt,51
dbt,54
civil,220
utbild,1088
sambo,3323
skiftarbete,2020
sjukskriven,7586
ansttyp_a,5864
ansttyp_b,22675
ansttyp_c,23271
ansttyp_d,23257
ansttyp_e,23447
ansttyp_f,22173
ansttyp_g,23269
ansttyp_h,23613
ansttyp_i,23358
ursprungsland,3220
ursprungsland_vilket,3230
halsojf,19089
halsoal,19061
halsoar,5020
hjartinf_foraldrar_syskon,5025
diab_foraldrar_syskon,5033
beskbltr,2638
med_C5a,20974
med_C5b,23548
med_C5c,22518
med_C5d,22668
med_C5e,23246
med_C5f,11736
smartmed,16359
andra_mediciner,10798
diabet,467
diabetesbehandling_a,23856
diabetesbehandling_b,23856
diabetesbehandling_c,23856
diabetesbehandling_d,23425
graviditetsdiabetes,16397
infarkt_sjukhus,5122
infarkt_sjukhus_ar,23856
sf_1,10013
sf_2,10075
sf_3a,10043
sf_3b,10004
sf_3c,10049
sf_3d,10032
sf_3e,10053
sf_3f,10054
sf_3g,10041
sf_3h,10024
sf_3i,10037
sf_3j,10004
sf_4a,10028
sf_4b,10031
sf_4c,10067
sf_4d,10046
sf_5a,10014
sf_5b,10014
sf_5c,10021
sf_6,10040
sf_7,10036
sf_8,10054
sf_9a,10067
sf_9b,10040
sf_9c,10054
sf_9d,10046
sf_9e,10117
sf_9f,10079
sf_9g,10104
sf_9h,10064
sf_9i,10038
sf_10,10112
sf_11a,10039
sf_11b,10077
sf_11c,10078
sf_11d,10052
livskvalitet_d1,9991
livskvalitet_d2,9983
livskvalitet_d3,10126
livskvalitet_d4,9986
livskvalitet_d5,10002
livskvalitet_d6,9990
livskvalitet_d7,10003
livskvalitet_d8,10014
livskvalitet_d9,9996
livskvalitet_d10,10002
livskvalitet_d11,10015
livskvalitet_d12,10010
livskvalitet_d13,10013
livskvalitet_d14,10046
livskvalitet_d15,10001
livskvalitet_d16,9991
livskvalitet_d17,10078
sockont,651
socsam,4799
soclago,560
sochem,4886
soctala,573
socstod,548
socnara,4826
soclyck,3098
socanfo,673
soctrost,4951
socupps,711
soclana,4818
sochelp,714
socdelta,5160
socofta,8327
socforening_a,19067
socforening_b,23007
socforening_c,23811
socforening_d,23329
socforening_e,20585
arbfys,1332
arbfort,1139
arbpsyk,1542
arbhin,1223
arbkrav,1356
arbnytt,1213
arbski,1284
arbide,1288
arbrut,1195
arbhur,1157
arbvad,1196
arbtala,10251
arblamna,10296
arbkontakt,10324
arbfritid,10548
arbbesok,10337
g1_a,6328
g1_b,6437
g1_c,6378
g1_d,6359
antal_km,7498
g2_a,18349
g2_b,20681
g2_c,20094
g2_d,19195
g2_e,22846
g3_a,6167
g3_b,9008
g3_c,20247
g3_d,19571
g3_e,19545
g3_f,19975
g3_g,19485
g4,18984
g5,18973
g6,5587
g7,20619
g8,19011
g9,10051
g10,10020
g11a_h,14181
g11a_m,21522
g11a_ej,19788
g11b_h,14559
g11b_m,21827
g11b_ej,19529
motion,21458
motion2,21784
sleep_h7a,10176
sleep_h7b,10064
sleep_h7c,10165
sleep_h7d,10241
sleep_h7e,10164
sleep_h7f,10159
sleep_h7g,10125
sleep_h7h,10110
sleep_h8a,10045
sleep_h8b,10331
i1,20338
i2,8539
i3,8541
i4,21923
i5,21910
j1,9976
j2,10730
j3,10455
j4,10496
j5,10496
j6,10471
j7,10476
j8,10483
j9,10453
j10,10461
sm_status,618
sm_cig_groups,22797
sm_num_cig,21706
sm_num_cigar,23708
sm_gr_tobacco,23657
sm_how_often,22856
sm_start,15806
sm_stop,17744
sm_duration,16275
sm_whystop_1,22871
sm_whystop_2,23799
sm_whystop_3,23595
sm_whystop_4,23598
sm_whystop_5,23170
sn_status,2837
sn_quantity,19918
sn_time,18074
sn_stopsmoke_a,19144
sn_stopsmoke_b,22218
sn_nicotine_replace,20175
sm_nicotine_replace,19092
nicotine_replace,19451
sm_yes_no,23397
sn_yes_no,21337
besok,23856
agr10,11600
BMR,11615
enkver,0
enkver2,0
antfrag,11600
year,11600
exclude,11600
missport,11600
missproc,11600
FIL,11793
potport,11698
kottport,11709
gronport,11689
da01,23856
da02,23856
da03,23856
da04,23856
da05,23856
da06,23856
da07,23856
da08,23856
da09,23856
da10,23856
da11,23856
da12,23856
da13,23856
da14,23856
da15,23856
da16,23856
da17,23856
da18,23856
da19,23856
da20,23856
da21,23856
da22,23856
da23,23856
da24,23856
da25,23856
da26,23856
da27,23856
da28,23856
da29,23856
da30,23856
da31,23856
da32,23856
da33,23856
da34,23856
da35,23856
da36,23856
da37,23856
da38,23856
da39,23856
da40,23856
da41,23856
da42,23856
da43,23856
da44,23856
da45,23856
da46,23856
da47,23856
da48,23856
da49,23856
da50,23856
da51,23856
da52,23856
da53,23856
da54,23856
da55,23856
da56,23856
da57,23856
da58,23856
da59,23856
da60,23856
da61,23856
da62,23856
da63,23856
da64,23856
da65,23856
da66,23856
da67,23856
da68,23856
da69,23856
da70,23856
da71,23856
da72,23856
da73,23856
da74,23856
da75,23856
da76,23856
da77,23856
da78,23856
da79,23856
da80,23856
da81,23856
da82,23856
da83,23856
da84,23856
dat01,11600
dat02,11600
dat03,11600
dat04,11600
dat05,11600
dat06,11600
dat07,11600
dat08,11600
dat09,11600
dat10,11600
dat11,11600
DAT12,11600
dat13,11600
dat14,11600
dat15,11600
DAT16,11600
dat17,11600
DAT18,11600
dat19,11600
dat20,11600
dat21,11600
dat22,11600
dat23,11600
dat24,11600
DAT25,11600
dat26,11600
dat27,11600
dat28,11600
DAT29,11600
dat30,11600
DAT31,11600
dat32,11600
dat33,11600
dat34,11600
DAT35,11600
dat36,11600
dat37,11600
dat38,11600
dat39,11600
dat40,11600
dat41,11600
dat42,11600
dat43,11600
dat44,11600
dat45,11600
dat46,11600
dat47,11600
dat48,11600
dat49,11600
DAT50,11600
dat51,11600
dat52,11600
dat53,11600
dat54,11600
dat55,11600
dat56,11600
dat57,11600
dat58,11600
dat59,11600
dat60,11600
dat61,11600
dat62,11600
dat63,11600
dat64,11600
DAT65,11600
DAT66,11600
gramlong1,23856
gramlong2,23856
gramlong3,23856
gramlong4,23856
gramlong5,23856
gramlong6,23856
gramlong7,23856
gramlong8,23856
gramlong9,23856
gramlong10,23856
gramlong11,23856
gramlong12,23856
gramlong13,23856
gramlong14,23856
gramlong15,23856
gramlong16,23856
gramlong17,23856
gramlong18,23856
gramlong19,23856
gramlong20,23856
gramlong21,23856
gramlong22,23856
gramlong23,23856
gramlong24,23856
gramlong25,23856
gramlong26,23856
gramlong27,23856
gramlong28,23856
gramlong29,23856
gramlong30,23856
gramlong31,23856
gramlong32,23856
gramlong33,23856
gramlong34,23856
gramlong35,23856
gramlong36,23856
gramlong37,23856
gramlong38,23856
gramlong39,23856
gramlong40,23856
gramlong41,23856
gramlong42,23856
gramlong43,23856
gramlong44,23856
gramlong45,23856
gramlong46,23856
gramlong47,23856
gramlong48,23856
gramlong49,23856
gramlong50,23856
gramlong51,23856
gramlong52,23856
gramlong53,23856
gramlong54,23856
gramlong55,23856
gramlong56,23856
gramlong57,23856
gramlong58,23856
gramlong59,23856
gramlong60,23856
gramlong61,23856
gramlong62,23856
gramlong63,23856
gramlong64,23856
gramlong65,23856
gramlong66,23856
gramlong67,23856
gramlong68,23856
gramlong69,23856
gramlong70,23856
gramlong71,23856
gramlong72,23856
gramlong73,23856
gramlong74,23856
gramlong75,23856
gramlong76,23856
gramlong77,23856
gramlong78,23856
gramlong79,23856
gramlong80,23856
gramlong81,23856
gramlong82,23856
gramlong83,23856
gramlong84,23856
gramshort1,11600
gramshort2,11600
gramshort3,11600
gramshort4,11600
gramshort5,11600
gramshort6,11600
gramshort7,11600
gramshort8,11600
gramshort9,11600
gramshort10,11600
gramshort11,11600
gramshort12,11600
gramshort13,11600
gramshort14,11600
gramshort15,11600
gramshort16,11600
gramshort17,11600
gramshort18,11600
gramshort19,11600
gramshort20,11600
gramshort21,11600
gramshort22,11600
gramshort23,11600
gramshort24,11600
gramshort25,11600
gramshort26,11600
gramshort27,11689
gramshort28,11689
gramshort29,11689
gramshort30,11698
gramshort31,11698
gramshort32,11698
gramshort33,11698
gramshort34,11600
gramshort35,11698
gramshort36,11600
gramshort37,11709
gramshort38,11709
gramshort39,11709
gramshort40,11709
gramshort41,11709
gramshort42,11600
gramshort43,11709
gramshort44,11709
gramshort45,11709
gramshort46,11709
gramshort47,11600
gramshort48,11600
gramshort49,11600
gramshort50,11600
gramshort51,11600
gramshort52,11600
gramshort53,11600
gramshort54,11600
